Risk Factor,Value,Exposed Count,Risk in Exposed,Risk in Unexposed,Risk Ratio,Odds Ratio,OR 95% CI Lower,OR 95% CI Upper,p-value,Significant (p<0.05),Test Used
Thyroid_Cancer_Risk,High,31903,0.7002162806005705,0.15020908467376154,4.661610728281629,13.214174724421667,12.859529381629278,13.578600621029969,0.0,True,Chi-square test
Family_History,Yes,63825,0.323650607128868,0.1937178402052853,1.670732064666276,1.991694635547745,1.95034317568284,2.033922835083021,0.0,True,Chi-square test
Radiation_Exposure,Yes,31860,0.32234777150031385,0.21691524130265274,1.4860540438030148,1.7172617802484507,1.6731542869603142,1.7625320300016214,0.0,True,Chi-square test
Iodine_Deficiency,Yes,53018,0.3053302651929533,0.20859506616647774,1.4637463426353148,1.6675781589421432,1.6311677890657645,1.7048012686503289,0.0,True,Chi-square test
Iodine_Deficiency,No,159673,0.20859506616647774,0.3053302651929533,0.6831784789976723,0.5996720421394625,0.5865786343482067,0.6130577165042845,0.0,True,Chi-square test
Radiation_Exposure,No,180831,0.21691524130265274,0.32234777150031385,0.6729230367967397,0.5823223992414958,0.5673655757615254,0.5976735127139648,0.0,True,Chi-square test
Family_History,No,148866,0.1937178402052853,0.323650607128868,0.5985400179649675,0.5020849994532347,0.49166073695179385,0.5127302786853843,0.0,True,Chi-square test
Thyroid_Cancer_Risk,Medium,72400,0.15084254143646408,0.27495705355297206,0.5486040073796594,0.4684189745162957,0.4575457252776843,0.47955061880150757,0.0,True,Chi-square test
Thyroid_Cancer_Risk,Low,108388,0.14978595416466767,0.31887865162075874,0.4697271310053317,0.3763066235001128,0.3684263880233894,0.3843554085519678,0.0,True,Chi-square test
Diabetes,No,170098,0.2333889875248386,0.22999084356584415,1.01477512715858,1.0192733040853088,0.993899066167027,1.0452953461638426,0.13945772780815632,False,Chi-square test
Obesity,No,148805,0.23304996471892744,0.23191309520082648,1.0049021359363794,1.00639172789735,0.9845373987202217,1.0287311698842132,0.5732949946709196,False,Chi-square test
Smoking,Yes,42431,0.23343781669062713,0.23252672383413603,1.0039182285866677,1.005111429538243,0.980150747811344,1.0307077641314617,0.6958313253476616,False,Chi-square test
Smoking,No,170260,0.23252672383413603,0.23343781669062713,0.9960970640087053,0.994914564307968,0.9702071089400031,1.0202512238377401,0.6958313253476616,False,Chi-square test
Obesity,Yes,63886,0.23191309520082648,0.23304996471892744,0.9951217777721095,0.9936488668177905,0.9720712556153548,1.0157054483657786,0.5732949946709196,False,Chi-square test
Diabetes,Yes,42593,0.22999084356584415,0.2333889875248386,0.9854399987118809,0.9810911322723158,0.9566674181320397,1.0061383837058036,0.13945772780815624,False,Chi-square test
